Barcode,Lon,Lat,Lon_Park,Lat_Park
1563901,-95.27293,29.62731,-95.27689394,29.60541646
1384702,-95.28551,29.61272,-95.27689394,29.60541646
1540702,-95.28551,29.61272,-95.27689394,29.60541646
1555901,-95.27061,29.62733,-95.27689394,29.60541646
1351901,-95.27316,29.63181,-95.27689394,29.60541646
1949002,-95.28551,29.61272,-95.27689394,29.60541646
1718001,-95.28551,29.61272,-95.27689394,29.60541646
1468702,-95.27734,29.62724,-95.27689394,29.60541646
1951302,-95.2683,29.62915,-95.27689394,29.60541646
1468601,-95.27093,29.63003,-95.27689394,29.60541646
1491001,-95.28551,29.61272,-95.27689394,29.60541646
1293701,-95.27071,29.61776,-95.27689394,29.60541646
1350101,-95.26865,29.62824,-95.27689394,29.60541646
1329201,-95.28554,29.63039,-95.27689394,29.60541646
1855501,-95.26846,29.61567,-95.27689394,29.60541646
1615801,-95.28536,29.6215,-95.27689394,29.60541646
1973301,-95.28463,29.61826,-95.27689394,29.60541646
2007901,-95.28036,29.61846,-95.27689394,29.60541646
1520801,-95.26869,29.622,-95.27689394,29.60541646
1535503,-95.28551,29.61272,-95.27689394,29.60541646
1969701,-95.27777,29.61758,-95.27689394,29.60541646
1809601,-95.28554,29.63039,-95.27689394,29.60541646
1371501,-95.27034,29.62733,-95.27689394,29.60541646
1809902,-95.27068,29.63093,-95.27689394,29.60541646
1971801,-95.27022,29.61671,-95.27689394,29.60541646
1115401,-95.28551,29.61272,-95.27689394,29.60541646
1809901,-95.27068,29.63093,-95.27689394,29.60541646
1967002,-95.2687,29.60462,-95.27689394,29.60541646
1853901,-95.28551,29.61272,-95.27689394,29.60541646
1967001,-95.2687,29.60462,-95.27689394,29.60541646
1316501,-95.28463,29.61826,-95.27689394,29.60541646
1468701,-95.27734,29.62724,-95.27689394,29.60541646
1344201,-95.28993,29.61934,-95.27689394,29.60541646
1366801,-95.27351,29.6318,-95.27689394,29.60541646
1630501,-95.27468,29.61326,-95.27689394,29.60541646
1370501,-95.28554,29.63039,-95.27689394,29.60541646
1401001,-95.26888,29.622,-95.27689394,29.60541646
1718002,-95.28551,29.61272,-95.27689394,29.60541646
1970501,-95.27723,29.61558,-95.27689394,29.60541646
1475701,-95.28554,29.63039,-95.27689394,29.60541646
1426502,-95.27502,29.62296,-95.27689394,29.60541646
1437901,-95.27309,29.61668,-95.27689394,29.60541646
1868001,-95.28536,29.6215,-95.27689394,29.60541646
1179501,-95.28554,29.63039,-95.27689394,29.60541646
2006901,-95.27038,29.62732,-95.27689394,29.60541646
1661801,-95.27326,29.62819,-95.27689394,29.60541646
1384701,-95.28551,29.61272,-95.27689394,29.60541646
1942601,-95.26849,29.61885,-95.27689394,29.60541646
1543201,-95.26848,29.62512,-95.27689394,29.60541646
