Barcode,Lon,Lat,Lon_Park,Lat_Park
231,-95.28551,29.61272,-95.27689394,29.60541646
232,-95.27777,29.61758,-95.27689394,29.60541646
233,-95.28554,29.63039,-95.27689394,29.60541646
234,-95.27034,29.62733,-95.27689394,29.60541646
235,-95.27068,29.63093,-95.27689394,29.60541646
236,-95.27022,29.61671,-95.27689394,29.60541646
237,-95.28551,29.61272,-95.27689394,29.60541646
238,-95.27068,29.63093,-95.27689394,29.60541646
239,-95.2687,29.60462,-95.27689394,29.60541646
240,-95.28551,29.61272,-95.27689394,29.60541646
241,-95.2687,29.60462,-95.27689394,29.60541646
242,-95.28463,29.61826,-95.27689394,29.60541646
243,-95.27734,29.62724,-95.27689394,29.60541646
244,-95.28993,29.61934,-95.27689394,29.60541646
245,-95.27351,29.6318,-95.27689394,29.60541646
246,-95.27468,29.61326,-95.27689394,29.60541646
247,-95.28554,29.63039,-95.27689394,29.60541646
248,-95.26888,29.622,-95.27689394,29.60541646
249,-95.28551,29.61272,-95.27689394,29.60541646
250,-95.27723,29.61558,-95.27689394,29.60541646
251,-95.28554,29.63039,-95.27689394,29.60541646
252,-95.27502,29.62296,-95.27689394,29.60541646
253,-95.27309,29.61668,-95.27689394,29.60541646
254,-95.28536,29.6215,-95.27689394,29.60541646
255,-95.28554,29.63039,-95.27689394,29.60541646
256,-95.27038,29.62732,-95.27689394,29.60541646
257,-95.27326,29.62819,-95.27689394,29.60541646
258,-95.28551,29.61272,-95.27689394,29.60541646
259,-95.26849,29.61885,-95.27689394,29.60541646
260,-95.26848,29.62512,-95.27689394,29.60541646
261,-95.28551,29.61272,-95.27689394,29.60541646
262,-95.28551,29.61272,-95.27689394,29.60541646
263,-95.27714,29.61428,-95.27689394,29.60541646
264,-95.28551,29.61272,-95.27689394,29.60541646
265,-95.28033,29.61891,-95.27689394,29.60541646
266,-95.26848,29.62512,-95.27689394,29.60541646
267,-95.28554,29.63039,-95.27689394,29.60541646
268,-95.27326,29.62819,-95.27689394,29.60541646
269,-95.27509,29.62504,-95.27689394,29.60541646
270,-95.26848,29.62513,-95.27689394,29.60541646
271,-95.28551,29.61272,-95.27689394,29.60541646
272,-95.26233,29.61779,-95.27689394,29.60541646
273,-95.26848,29.62512,-95.27689394,29.60541646
274,-95.27781,29.62724,-95.27689394,29.60541646
275,-95.28536,29.6215,-95.27689394,29.60541646
276,-95.27293,29.60996,-95.27689394,29.60541646
277,-95.28463,29.61826,-95.27689394,29.60541646
278,-95.26146,29.61847,-95.27689394,29.60541646
279,-95.28551,29.61272,-95.27689394,29.60541646
280,-95.2837,29.61886,-95.27689394,29.60541646
281,-95.27781,29.62724,-95.27689394,29.60541646
282,-95.2683,29.62915,-95.27689394,29.60541646
283,-95.28463,29.61826,-95.27689394,29.60541646
284,-95.28554,29.63039,-95.27689394,29.60541646
